branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
3277,5160172,38324,3,2,32,5,Regular,cluster_2
3279,4187806,37008,3,2,32,5,Regular,cluster_2
3283,9389869,46728,4,3,43,7,Loyal,cluster_2
3318,52034507,53311,4,4,44,8,Premium,cluster_1
3353,4698095,30621,1,2,12,3,Churned,cluster_2
3358,10175211,40044,3,4,34,7,Loyal,cluster_2
3367,8062476,40425,3,3,33,6,Loyal,cluster_2
3370,4656755,34905,2,2,22,4,Regular,cluster_2
3371,6287817,36381,3,2,32,5,Regular,cluster_2
3376,3082705,31537,1,1,11,2,Churned,cluster_2
3400,7650116,37450,3,3,33,6,Loyal,cluster_2
3402,6051164,31440,1,2,12,3,Churned,cluster_2
3416,9311726,33117,2,3,23,5,Regular,cluster_2
3417,19987118,50840,4,4,44,8,Premium,cluster_1
3420,581487,42714,4,1,41,5,Regular,cluster_2
3421,7891917,38179,3,3,33,6,Loyal,cluster_2
3439,4465955,36432,3,2,32,5,Regular,cluster_2
3486,8013402,37346,3,3,33,6,Loyal,cluster_2
3550,28396625,57950,4,4,44,8,Premium,cluster_1
3568,5872906,37152,3,2,32,5,Regular,cluster_2
3577,6214842,32697,2,2,22,4,Regular,cluster_2
3607,968710,45770,4,1,41,5,Regular,cluster_2
3627,1289098,22860,1,1,11,2,Churned,cluster_0
3637,6281733,34650,2,2,22,4,Regular,cluster_2
3679,3411329,32890,2,2,22,4,Regular,cluster_2
3727,6573926,36828,3,3,33,6,Loyal,cluster_2
3738,6926701,31372,1,3,13,4,Regular,cluster_2
3754,3735238,33201,2,2,22,4,Regular,cluster_2
3755,8316549,43914,4,3,43,7,Loyal,cluster_2
3808,13198,1518,1,1,11,2,Churned,cluster_0
3857,3389352,28765,1,2,12,3,Churned,cluster_2
3870,83550,14016,1,1,11,2,Churned,cluster_0
3891,4763375,39900,3,2,32,5,Regular,cluster_2
3923,55552,2880,1,1,11,2,Churned,cluster_0
3924,7444521,31380,1,3,13,4,Regular,cluster_2
3926,13748475,37788,3,4,34,7,Loyal,cluster_2
3947,16052164,40530,3,4,34,7,Loyal,cluster_2
3951,60210,8120,1,1,11,2,Churned,cluster_0
3974,10476288,33217,2,4,24,6,Loyal,cluster_2
3997,20622980,41850,4,4,44,8,Premium,cluster_1
4031,5736074,34170,2,2,22,4,Regular,cluster_2
4048,25587796,50052,4,4,44,8,Premium,cluster_1
4072,12500733,40824,3,4,34,7,Loyal,cluster_2
4079,6565025,35750,2,3,23,5,Regular,cluster_2
4080,45112325,54708,4,4,44,8,Premium,cluster_1
4097,3286706,36915,3,2,32,5,Regular,cluster_2
4105,5119876,33410,2,2,22,4,Regular,cluster_2
4108,27174957,51888,4,4,44,8,Premium,cluster_1
4115,460633,35941,2,1,21,3,Churned,cluster_2
4137,6456240,38033,3,3,33,6,Loyal,cluster_2
4145,13838039,40661,3,4,34,7,Loyal,cluster_2
4150,5771277,30798,1,2,12,3,Churned,cluster_2
4154,9188845,38433,3,3,33,6,Loyal,cluster_2
4155,6936381,38592,3,3,33,6,Loyal,cluster_2
4157,27223136,35310,2,4,24,6,Loyal,cluster_1
4164,6180720,35604,2,2,22,4,Regular,cluster_2
4179,11483866,42120,4,4,44,8,Premium,cluster_2
4200,2613936,32890,2,1,21,3,Churned,cluster_2
4211,32401,660,1,1,11,2,Churned,cluster_0
4214,505777,31020,1,1,11,2,Churned,cluster_2
4221,61334,16480,1,1,11,2,Churned,cluster_0
4245,16107124,56964,4,4,44,8,Premium,cluster_1
